Ad No,Name,Price,Make,Model,Model Year,Location,Mileage,Registered City,Engine Type,Engine Capacity,Transmission,Color,Assembly,Body Type,Features,Last Updated,URL
7597776,Toyota Hilux Vigo Champ G 2014,6300000.0,Toyota,Hilux,2014," Millat Road, Faisalabad Punjab",169000,Sindh,Diesel,2500 cc,Automatic,White,Local,Double Cabin," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-hilux-2014-for-sale-in-faisalabad-7597776
7597773,Toyota Corolla GLi Automatic 1.6 VVTi 2012,3000000.0,Toyota,Corolla,2012, Lahore Punjab,123500,Islamabad,Petrol,1600 cc,Automatic,Burgundy,Local,Sedan," ABS, AM/FM Radio, Air Conditioning, Alloy Rims, CD Player, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-lahore-7597773
7597777,Toyota Surf SSR-G 2.7 1998,3800000.0,Toyota,Surf,1998," Civil Lines, Jhang Punjab",124000,Lahore,Petrol,2700 cc,Manual,Black,Imported,SUV," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, Cassette Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-surf-1998-for-sale-in-jhang-7597777
7376660,Honda City 1.3 i-VTEC Prosmatec 2019,3825000.0,Honda,City,2019, Rawalpindi Punjab,55850,Islamabad,Petrol,1300 cc,Automatic,Taffeta White,Local,Sedan," ABS, AM/FM Radio, Air Conditioning, CD Player, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable","Jun 25, 2023",https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-rawalpindi-7376660
7466507,Toyota Yaris ATIV X CVT 1.5 2021,4775000.0,Toyota,Yaris,2021," Johar Town, Lahore Punjab",23000,Punjab,Petrol,1500 cc,Automatic,White,Local,Sedan," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-lahore-7466507
7392220,Suzuki Cultus VXL 2021,3290000.0,Suzuki,Cultus,2021," Johar Town, Lahore Punjab",35000,Punjab,Petrol,1000 cc,Manual,Silky Silver,Local,Hatchback," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-7392220
7513845,Honda Civic Turbo 1.5 VTEC CVT 2017,5650000.0,Honda,Civic,2017," Johar Town, Lahore Punjab",81000,Lahore,Petrol,1500 cc,Automatic,Black,Local,Sedan," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Sun Roof","Jun 25, 2023",https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-7513845
7545409,Suzuki Cultus VXL 2018,2450000.0,Suzuki,Cultus,2018," HBFC Housing Society, Lahore Punjab",78956,Lahore,Petrol,1000 cc,Manual,Graphite Grey,Local,Hatchback," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Speakers, USB and Auxillary Cable","Jun 25, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-lahore-7545409
7493608,Toyota Corolla XLi VVTi Limited Edition 2012,2260000.0,Toyota,Corolla,2012," Johar Town, Lahore Punjab",115129,Lahore,Petrol,1300 cc,Manual,Burgundy,Local,Sedan," AM/FM Radio, Air Conditioning, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Steering","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-lahore-7493608
7561723,Toyota Yaris ATIV X CVT 1.5 2021,4800000.0,Toyota,Yaris,2021," Garden Town, Lahore Punjab",31000,Punjab,Petrol,1500 cc,Automatic,White,Local,Sedan," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows","Jun 25, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-lahore-7561723
